equipo,velocidad media (kmh),posesión del balón promedio,acierto en los cambios de orientación (%),precisión en los pases (%),precisión en los centros (%),acierto en las rupturas de líneas (%),minutos,partidos,fase,pérdidas de balón provocadas p90,presiones defensivas p90,presiones defensivas directas p90,goles recibidos x p90,gol en propia puerta p90,faltas recibidas p90,faltas cometidas p90,tarjetas amarillas p90,fueras de juego p90,tarjetas rojas p90,dobles amonestaciones p90,acciones del portero dentro del área p90,acciones del portero fuera del área p90,paradas de la portera p90,porterías a cero p90,desmarques para recibir p90,desmarques a la espalda de la defensa p90,desmarques entre líneas p90,desmarques por delante de la defensa p90,desmarques en el interior de las líneas rivales p90,desmarques en el exterior de las líneas rivales p90,recepciones a la espalda de la defensa p90,recepciones entre la línea de medias y la defensiva p90,recepciones bajo presión p90,esprint a gran velocidad p90,esprints p90,distancia recorrida p90,remate p90,goles esperados p90,goles p90,asistencias p90,remate entre los tres palos p90,tiros fuera p90,tiros dentro del área p90,tiros fuera del área p90,remates de cabeza p90,saque de esquina p90,pase p90,pases completados p90,centros p90,intentos de ruptura de líneas p90,regates completados p90,cambios de orientación intentados p90,tiempo recuperacion balon promedio
Sudáfrica,5.9,46,85,85,17,41,360,4,Segunda fase,39.5,270.25,41.5,1.0,0.0,9.5,11.5,1.25,2.0,0.5,0.0,18.0,14.75,3.5,0.25,303.0,89.75,114.5,98.75,167.25,135.75,7.250000000000001,70.75,158.5,1259.75,471.0,107267.21,9.75,0.62,0.5,0.25,2.75,4.5,3.25,6.499999999999999,1.25,2.75,463.75,393.25,9.0,15.749999999999998,5.25,6.75,18.2675
Chequia,6.33,37,75,79,32,38,270,3,Primera fase,39.66666666666667,285.6666666666667,40.33333333333333,2.0,0.0,12.333333333333334,10.333333333333334,0.3333333333333333,1.6666666666666663,0.0,0.0,20.0,17.333333333333332,3.666666666666667,0.0,246.66666666666669,77.33333333333333,101.66666666666666,67.66666666666667,123.66666666666666,123.0,6.333333333333334,81.66666666666667,146.33333333333334,1443.3333333333337,460.3333333333333,116275.47666666668,11.333333333333332,0.8133333333333332,0.6666666666666667,0.6666666666666667,2.666666666666667,5.0,7.333333333333334,4.0,3.333333333333333,5.0,367.3333333333333,290.6666666666667,16.666666666666664,15.0,6.333333333333334,4.0,18.89
Senegal,5.86,49,90,88,28,57,390,4,Segunda fase,38.07692307692307,243.46153846153848,39.23076923076923,2.076923076923077,0.0,8.307692307692308,11.076923076923077,0.6923076923076923,2.3076923076923075,0.0,0.0,20.07692307692308,16.153846153846153,3.0,0.2307692307692307,342.9230769230769,106.6153846153846,121.3846153846154,114.92307692307692,199.84615384615387,143.07692307692307,12.461538461538462,106.15384615384616,228.0,1237.6153846153848,463.84615384615387,113717.87307692308,15.692307692307692,1.666153846153846,2.3076923076923075,2.076923076923077,5.076923076923077,7.384615384615385,8.76923076923077,6.923076923076923,1.6153846153846152,5.076923076923077,518.7692307692307,456.46153846153845,20.76923076923077,22.615384615384613,8.76923076923077,7.153846153846153,17.0025
Escocia,6.21,41,71,87,34,40,270,3,Primera fase,35.66666666666667,258.3333333333333,36.333333333333336,1.3333333333333337,0.0,14.0,12.999999999999998,1.6666666666666663,0.6666666666666667,0.0,0.0,25.0,21.333333333333336,3.0,0.3333333333333333,346.66666666666663,77.0,133.33333333333331,136.33333333333334,186.00000000000003,160.66666666666666,5.0,76.66666666666667,143.33333333333334,1255.3333333333333,417.00000000000006,116189.17333333334,9.666666666666666,0.7799999999999999,0.3333333333333333,0.0,2.333333333333333,4.0,7.666666666666666,2.0,2.0,4.0,459.0,397.6666666666667,17.666666666666668,15.0,4.333333333333333,5.666666666666666,23.436666666666667
Panamá,6.04,42,70,83,21,43,270,3,Primera fase,48.99999999999999,251.0,58.333333333333336,1.3333333333333337,0.0,15.333333333333332,11.0,1.6666666666666663,2.0,0.0,0.0,16.0,14.0,3.0,0.0,296.33333333333337,79.66666666666667,122.0,94.66666666666666,139.33333333333331,157.0,9.333333333333334,82.66666666666667,177.33333333333334,1248.3333333333333,457.3333333333333,112237.69666666668,10.666666666666668,0.73,0.0,0.0,2.333333333333333,5.333333333333334,6.666666666666666,4.0,1.6666666666666663,4.0,419.6666666666667,346.3333333333333,19.33333333333333,18.0,8.333333333333332,9.0,15.48
Brasil,5.88,48,96,90,24,55,450,5,Segunda fase,37.2,267.6,42.8,0.8,0.0,10.2,10.8,1.6,2.2,0.0,0.0,13.4,11.8,3.0,0.4,390.4,100.2,149.2,141.0,222.4,168.0,11.0,92.4,165.6,1216.0,422.0,112262.812,14.6,2.176,2.0,1.6,5.8,4.800000000000001,10.0,4.6000000000000005,2.2,5.4,548.4000000000001,492.4,17.8,21.4,8.8,4.800000000000001,19.268
Bélgica,6.24,46,77,86,28,51,570,6,Segunda fase,41.526315789473685,249.78947368421052,35.8421052631579,1.105263157894737,0.0,12.31578947368421,10.736842105263158,0.9473684210526316,1.263157894736842,0.1578947368421052,0.0,18.473684210526315,15.0,3.0,0.1578947368421052,357.0,116.6842105263158,127.26315789473684,113.05263157894736,196.57894736842104,160.42105263157896,10.578947368421051,106.73684210526316,172.42105263157893,1355.2105263157894,474.0,116768.93368421053,17.68421052631579,1.6768421052631577,2.210526315789474,1.5789473684210529,5.526315789473684,6.789473684210527,11.684210526315788,6.0,2.526315789473684,3.789473684210526,486.4736842105264,418.8947368421052,21.0,21.789473684210527,10.736842105263158,4.7368421052631575,15.298333333333334
Colombia,5.63,53,91,87,27,43,480,5,Segunda fase,36.375,204.0,35.8125,0.1875,0.0,13.125,12.0,1.5,3.5625,0.0,0.0,10.6875,10.125,1.3125,0.75,404.8125,115.875,159.0,129.9375,190.875,213.9375,9.75,95.8125,169.875,1120.875,391.5,104995.6425,17.625,1.3725,0.9375,0.9375,5.812500000000001,7.5,10.3125,7.3125,2.4375,4.5,522.9375,456.9375,15.375,18.375,6.187500000000001,10.5,14.376
España,6.04,58,96,90,20,66,750,8,Ganador,47.88,232.92,35.04,0.12,0.0,12.12,10.68,0.72,2.52,0.0,0.0,14.4,11.16,1.6800000000000002,0.8400000000000001,484.32,136.08,185.16,163.08,284.04,200.28,14.88,140.16,213.84,1245.84,437.4,113708.9292,16.8,2.0976,1.6800000000000002,1.2000000000000002,6.48,7.08,9.48,7.319999999999999,2.64,6.48,656.4,593.4000000000001,21.36,24.72,8.88,6.36,11.36125
Francia,5.93,51,93,89,16,66,720,8,Semifinalista,41.25,246.5,42.875,1.25,0.0,10.5,9.25,0.75,1.75,0.0,0.0,13.5,10.75,1.875,0.5,336.125,99.0,112.5,124.625,187.00000000000003,149.125,14.125,112.5,175.625,1156.625,414.75,109924.565,17.375,2.0975,2.5,2.25,7.375,7.375,9.625,7.75,1.25,6.375,539.75,483.0,16.125,21.25,10.875,5.125,15.3975
Alemania,6.29,56,71,90,22,56,390,4,Segunda fase,43.61538461538461,211.15384615384616,43.15384615384615,1.1538461538461535,0.0,11.76923076923077,9.692307692307692,0.6923076923076923,0.9230769230769232,0.0,0.0,14.076923076923077,10.384615384615383,1.6153846153846152,0.0,367.1538461538461,101.53846153846152,145.6153846153846,120.0,195.9230769230769,171.23076923076923,10.384615384615383,126.92307692307692,217.38461538461536,1382.5384615384617,459.2307692307692,117444.64615384616,17.076923076923077,1.993846153846154,2.5384615384615383,2.3076923076923075,6.461538461538461,6.0,11.076923076923077,6.0,2.769230769230769,7.846153846153846,627.9230769230769,562.1538461538462,24.923076923076923,18.692307692307693,10.153846153846152,3.2307692307692304,12.37
República de Corea,6.09,56,86,89,28,60,270,3,Primera fase,35.333333333333336,187.66666666666663,28.666666666666668,1.0,0.0,8.333333333333332,10.666666666666668,1.3333333333333337,2.666666666666667,0.0,0.0,14.0,11.333333333333332,3.666666666666667,0.0,400.3333333333333,89.0,142.33333333333334,169.0,219.0,181.3333333333333,13.333333333333332,91.33333333333331,226.0,1184.3333333333337,432.6666666666667,111651.59666666664,10.666666666666668,1.1266666666666665,0.6666666666666667,0.6666666666666667,3.666666666666667,4.333333333333333,7.0,3.666666666666667,3.0,4.0,617.6666666666666,550.0,21.333333333333336,21.666666666666664,7.666666666666666,7.0,14.88
Nueva Zelanda,6.22,42,75,83,19,22,270,3,Primera fase,39.333333333333336,281.3333333333333,46.66666666666666,3.333333333333333,0.0,10.666666666666668,7.666666666666666,1.3333333333333337,1.3333333333333337,0.0,0.0,32.333333333333336,29.333333333333336,3.666666666666667,0.0,354.0,87.66666666666667,157.0,109.33333333333331,186.33333333333331,167.66666666666666,4.666666666666667,89.0,187.66666666666663,1426.6666666666663,497.33333333333337,116346.94,10.333333333333334,0.8266666666666667,1.3333333333333337,1.0,5.0,2.666666666666667,6.333333333333334,4.0,2.0,3.333333333333333,445.0,370.6666666666667,12.333333333333334,18.0,7.333333333333334,2.666666666666667,15.98
Noruega,6.13,49,69,88,29,42,570,6,Segunda fase,30.473684210526315,224.05263157894737,36.47368421052632,1.736842105263158,0.0,9.157894736842104,6.473684210526316,0.4736842105263157,0.7894736842105263,0.0,0.0,20.84210526315789,18.157894736842103,3.473684210526316,0.0,337.89473684210526,71.8421052631579,149.3684210526316,116.6842105263158,176.8421052631579,161.05263157894737,6.947368421052632,106.42105263157896,177.3157894736842,1261.8947368421052,435.9473684210527,115884.01736842105,10.26315789473684,1.5678947368421057,2.0526315789473686,1.5789473684210529,4.7368421052631575,3.947368421052632,8.210526315789474,2.0526315789473686,2.0526315789473686,4.578947368421052,491.6842105263158,430.5789473684211,13.736842105263158,15.0,7.105263157894736,2.526315789473684,16.56
Haití,5.96,42,100,85,24,40,270,3,Primera fase,37.66666666666666,270.0,47.66666666666667,2.666666666666667,0.0,18.33333333333333,14.333333333333334,2.333333333333333,2.333333333333333,0.0,0.0,18.666666666666668,16.0,4.333333333333333,0.0,278.0,84.0,116.66666666666669,77.33333333333333,143.0,135.0,4.333333333333333,70.66666666666667,135.66666666666666,1325.0,458.6666666666667,111361.87666666668,10.333333333333334,0.54,0.6666666666666667,0.3333333333333333,2.333333333333333,5.0,5.333333333333334,5.0,1.6666666666666663,3.0,366.0,309.3333333333333,14.0,14.0,7.333333333333334,4.333333333333333,16.393333333333334
México,6.01,48,89,87,26,42,450,5,Segunda fase,35.6,213.0,35.4,0.6000000000000001,0.0,11.6,9.6,0.8,1.0,0.2,0.0,12.0,9.8,1.6,0.8,406.8,108.2,168.8,129.8,215.2,191.6,8.0,101.0,166.79999999999998,1270.8,438.0,112768.888,14.0,1.62,2.0,1.4,4.2,6.4,8.8,5.2,2.6,3.8,435.0,380.4,18.2,17.8,5.4,5.6,14.772
Ghana,5.76,34,78,84,21,43,360,4,Segunda fase,39.0,290.0,45.75,0.75,0.0,14.0,11.75,1.5,2.0,0.0,0.0,21.5,19.25,4.0,0.5,193.0,69.25,60.50000000000001,63.24999999999999,99.25,93.75,6.499999999999999,58.75,123.5,1122.25,418.00000000000006,109201.64750000002,5.75,0.585,0.5,0.5,0.75,2.5,3.0,2.75,0.75,2.0,349.25,293.0,12.0,15.25,7.75,5.75,22.4325
Turquía,6.1,58,73,87,14,60,270,3,Primera fase,40.33333333333333,163.33333333333334,41.0,1.6666666666666663,0.0,10.333333333333334,12.666666666666668,0.6666666666666667,2.333333333333333,0.0,0.0,18.33333333333333,15.333333333333332,2.666666666666667,0.0,425.0,136.33333333333334,142.66666666666669,146.0,227.0,198.00000000000003,13.666666666666666,126.0,236.3333333333333,1182.6666666666667,429.6666666666666,116939.44666666668,23.33333333333333,1.8333333333333333,1.0,0.6666666666666667,4.666666666666667,11.666666666666666,12.333333333333334,11.0,2.333333333333333,7.333333333333334,614.6666666666667,536.6666666666666,28.0,25.0,12.333333333333334,10.0,9.98
Ecuador,5.72,52,90,86,25,44,360,4,Segunda fase,44.0,231.25000000000003,51.25,1.0,0.0,12.249999999999998,9.25,2.0,0.5,0.25,0.0,17.0,15.749999999999998,3.0,0.25,327.0,80.0,128.5,118.5,174.75,152.25,9.75,105.5,178.25,1149.5,448.25,106745.71,13.25,1.4699999999999998,0.5,0.5,5.0,6.499999999999999,8.75,4.5,3.0,6.25,496.25000000000006,429.25000000000006,22.0,23.250000000000004,10.5,2.5,13.4175
RD Congo,5.96,37,78,81,22,36,360,4,Segunda fase,43.0,308.5,44.75,1.25,0.0,11.0,11.0,1.5,2.25,0.0,0.0,20.75,17.5,3.75,0.0,309.25,85.5,135.5,88.25,182.5,126.75,5.5,80.75,159.0,1245.75,445.0,111863.97,10.25,0.9275,1.25,0.75,2.5,6.25,4.5,5.75,1.25,3.25,367.5,298.75,16.0,17.5,6.25,4.5,21.3
